sno,re_1,re_2,re_3,re_4,re_5,re_6,re_7,re_8,ar_re_1,ar_re_2,ar_re_3,ar_re_4,ar_re_5,ar_re_6,ar_re_7,ar_re_8,rea,le_1,le_2,le_3,le_4,le_5,le_6,le_7,le_8,ar_le_1,ar_le_2,ar_le_3,ar_le_4,ar_le_5,ar_le_6,ar_le_7,ar_le_8,lea,x,y
160,0.28125,0.31879,0.41988,0.24621,0.32781,0.53023,0.39703,0.28125,19:20:27,83:71:21,127:179:12,74:383:18,18:383:51,27:312:126,86:124:92,40:22:27,10.738897100905428,0.37293,0.71695,0.79078,0.35785,0.30211,0.4482,0.34234,0.2873,0:34:0,31:89:40,68:222:78,28:434:45,28:460:36,109:343:44,172:142:51,20:22:30,10.02603709032128,10,1
161,0.28125,0.24461,0.37719,0.25855,0.23746,0.47746,0.41004,0.28594,19:20:23,83:69:16,127:171:12,74:382:17,18:391:47,19:316:127,68:121:93,31:25:25,11.437256218907612,0.34109,0.66383,0.77605,0.39223,0.31,0.44055,0.34125,0.28891,0:34:0,17:94:22,68:246:60,28:434:28,37:452:19,122:332:27,162:138:38,25:26:24,9.771747352020832,10,1
162,0.28125,0.30914,0.4343,0.27023,0.2968,0.51656,0.38309,0.28082,19:20:23,82:64:16,132:168:12,75:350:17,18:381:53,18:295:121,68:124:89,26:18:21,11.056412980248197,0.32949,0.70008,0.76465,0.30766,0.30383,0.41078,0.33816,0.28242,0:26:0,16:88:23,53:216:91,20:408:63,27:402:54,98:299:59,153:127:65,21:20:22,10.02603709032128,10,1
163,0.28125,0.2816,0.26687,0.205,0.23816,0.3434,0.28156,0.28125,15:16:18,95:58:15,133:129:12,77:283:18,27:293:59,16:227:131,28:91:85,25:17:24,11.437256218907612,0.28996,0.40832,0.48574,0.28441,0.29969,0.33473,0.28918,0.28125,0:26:0,14:79:19,42:173:92,20:336:63,27:334:54,70:242:68,134:104:80,25:22:29,10.02603709032128,10,1
164,0.27328,0.30117,0.39543,0.28047,0.32602,0.50035,0.43969,0.315,19:23:33,80:61:20,137:176:12,72:370:17,18:383:35,27:304:123,79:134:92,31:28:27,10.420712396794501,0.30711,0.69547,0.79566,0.39656,0.3418,0.47781,0.40191,0.28781,0:29:0,25:91:29,65:216:76,30:427:37,27:420:19,110:323:44,170:127:51,25:25:30,10.696510735778112,10,1
165,0.28125,0.34473,0.49492,0.28152,0.32867,0.53863,0.42566,0.29184,19:20:27,89:71:21,128:179:12,74:383:18,18:395:53,28:322:127,84:127:85,31:28:23,11.056412980248197,0.35902,0.73246,0.82062,0.39895,0.32234,0.47242,0.38418,0.29621,0:34:0,25:101:30,58:221:90,20:435:54,27:436:36,114:340:44,166:140:62,21:23:28,10.332700515921768,10,1
166,0.2816,0.36988,0.48492,0.23066,0.28961,0.50988,0.34645,0.28125,19:23:33,77:67:20,127:189:13,74:399:17,19:413:36,27:321:123,89:128:100,32:24:28,11.124108975782226,0.35605,0.70344,0.78719,0.35805,0.26996,0.4341,0.33043,0.28125,0:34:0,25:98:39,65:229:76,30:424:45,28:435:36,114:340:44,172:133:51,25:25:30,9.563283829543064,10,1
167,0.28125,0.34637,0.47699,0.20438,0.24988,0.50051,0.35996,0.28125,17:23:33,76:61:20,132:185:13,77:399:17,19:426:36,35:320:111,104:126:93,31:25:25,10.873520395255094,0.31969,0.65148,0.77883,0.35898,0.27625,0.41625,0.30176,0.28125,0:32:0,17:93:29,65:229:76,31:457:37,28:479:19,114:348:36,169:133:51,25:23:26,9.865806943084365,10,1
168,0.28125,0.3584,0.44211,0.21523,0.24137,0.49355,0.34059,0.28125,19:20:31,83:71:29,124:198:19,58:418:18,17:415:51,28:339:130,99:132:92,35:24:27,11.309932474020195,0.35996,0.70215,0.75418,0.3093,0.2909,0.41578,0.32312,0.28125,0:34:0,25:93:30,83:234:68,40:464:30,38:460:18,122:366:27,177:145:48,28:23:26,9.162347045721747,10,1
169,0.2816,0.35012,0.45984,0.2123,0.26555,0.5,0.34523,0.28125,19:23:38,85:67:26,118:198:19,58:418:18,18:440:53,27:317:121,101:145:96,31:28:23,10.561010691196365,0.39578,0.7257,0.77504,0.36605,0.29949,0.44934,0.34809,0.2841,0:34:0,28:93:30,73:239:68,30:472:30,38:460:18,131:357:27,180:158:41,23:22:22,9.865806943084365,10,1
